Id,Id2,Id3,Geography,Total Workers,Drove Alone,Carpooled,Walked or Biked,"Public Transportation, Taxi, or Motorcycle",Worked From Home,Work In State of Residence,InCounty,OutCounty,Work Outside State of Residence,Total Commuters,Left Between 12am and 4am,Left Between 5am,Left Between 6am,Left Between 7am,Left Between 8am,Left Between 9am and 12pm,Less Than 10 Minutes,10-19 Minutes,20-29 Minutes,30-44 Minutes,45-59 Minutes,60 Minutes or more,MeanTravel
0500000US55063,55063,id55063,"La Crosse County, Wisconsin",61019,48815,5003,3966,1098,2136,97.2,89.5,7.7,2.8,58888,4.2,8.1,17.3,30.3,10.4,29.6,21.2,42,21.3,10.3,2.7,2.7,18.1
0500000US55117,55117,id55117,"Sheboygan County, Wisconsin",57751,48742,4620,1733,751,1848,99.6,84.5,15.1,0.4,55911,5.9,12.7,19.5,25,8.9,28,23.7,43.2,16.5,8.6,3.4,4.6,18.2
0500000US55035,55035,id55035,"Eau Claire County, Wisconsin",53233,42693,4046,2768,1064,2662,98.5,80.7,17.8,1.5,50579,4.6,8.9,15.1,28.2,12.6,30.6,20.6,50.5,14.7,8.3,2.4,3.6,17.8
0500000US55039,55039,id55039,"Fond du Lac County, Wisconsin",51770,42193,4918,2070,673,1915,99.4,70.2,29.2,0.6,49855,7.4,12.8,20.9,24.6,9.1,25.2,23.6,36.2,17.6,13.2,4.5,4.9,20.1
0500000US55127,55127,id55127,"Walworth County, Wisconsin",51089,41433,4700,2044,818,2095,89.5,61.8,27.7,10.5,48976,5.4,11.8,20.6,24.9,11.4,25.7,19.7,31,17.3,14,8.8,9.2,24.9
0500000US27019,27019,id27019,"Carver County, Minnesota",49996,41397,2950,850,1100,3650,99.3,39.5,59.8,0.7,46336,3.7,8.3,20.6,32.7,15,19.8,14,23.4,23.7,24.2,9.5,5.2,25.4
0500000US27141,27141,id27141,"Sherburne County, Minnesota",45578,37739,4331,501,1231,1823,99.2,30.2,69.1,0.8,43736,7.1,14.1,23.1,24.4,10.4,20.9,9.5,22.6,15.7,22.2,14.3,15.7,32.1
0500000US55109,55109,id55109,"St. Croix County, Wisconsin",44683,36908,4022,1072,402,2279,56.6,48.7,7.9,43.4,42399,5.5,12.3,22.2,27.4,12.4,20.5,14.3,22.5,19.3,21.8,13.1,8.9,27.9
0500000US55089,55089,id55089,"Ozaukee County, Wisconsin",44121,37282,2868,882,574,2427,99,49.7,49.3,1,41677,3.6,7.6,20.6,29.8,15.6,22.8,16.6,28,21.8,22.6,7,4,23.6
0500000US55055,55055,id55055,"Jefferson County, Wisconsin",42648,34715,4093,1749,469,1621,99.3,53.6,45.7,0.7,41045,6.6,13.7,21.1,25.5,9.6,23.4,23.3,26,18.5,17.9,7.5,6.8,23.2
0500000US55027,55027,id55027,"Dodge County, Wisconsin",42291,35567,3172,1438,508,1649,99.7,57.7,42,0.3,40649,10.7,15.9,20.4,22,9.1,22,26.6,27.2,17.8,15.1,7.1,6.3,21.8
0500000US55071,55071,id55071,"Manitowoc County, Wisconsin",40231,33834,3057,1529,523,1287,99.4,77.3,22.1,0.6,38934,8.6,14.7,19.9,22.9,9.1,24.8,24.9,36.6,17.8,12.5,4.3,3.9,19.2
0500000US55141,55141,id55141,"Wood County, Wisconsin",35497,29356,2768,1633,426,1242,99.6,79.7,19.9,0.4,34238,5.6,11,22.3,29.8,8.7,22.6,26.3,38.3,15.3,11.5,4.4,4.3,19.1
0500000US27013,27013,id27013,"Blue Earth County, Minnesota",35147,28750,2953,1582,422,1441,99.4,75.2,24.1,0.6,33718,3.1,6.4,17.6,30.9,12.1,30,23.5,48.1,14.9,7.8,2.1,3.5,17.2
0500000US55097,55097,id55097,"Portage County, Wisconsin",35069,28090,2806,2490,421,1262,99.1,79.9,19.2,0.9,33823,3.7,8.2,18.1,27.7,12.1,30.2,22.9,41,16.4,12,3.8,3.9,19.2
0500000US27131,27131,id27131,"Rice County, Minnesota",32880,23575,2532,1742,789,4274,99.2,67.1,32.1,0.8,28607,6.2,11.5,18.5,28.3,11.8,23.6,25.8,28,16.2,12.9,8.8,8.2,22.5
0500000US55111,55111,id55111,"Sauk County, Wisconsin",32320,25953,3232,1422,355,1357,99.3,77.3,22,0.7,30978,6.3,10.2,19.4,29.1,9.5,25.5,27.7,28.6,17.4,12.9,6.9,6.4,21.5
0500000US27027,27027,id27027,"Clay County, Minnesota",32208,25315,2577,1932,612,1804,47.4,43.7,3.7,52.6,30418,2.9,5.4,17.3,36.4,12.4,25.7,21,41.7,19.2,11.6,3.2,3.1,18.8
0500000US55017,55017,id55017,"Chippewa County, Wisconsin",30259,24419,2542,847,393,2027,98.3,60.4,37.9,1.7,28238,6.4,15.4,20.9,26.1,8.9,22.2,20.3,31.3,23.8,15.3,5,4.2,21.5
0500000US55021,55021,id55021,"Columbia County, Wisconsin",29129,23798,3029,844,437,1020,99.1,49.5,49.6,0.9,28105,6.1,13.4,23.6,27.7,9,20,20.5,22.7,18.1,21.9,10.6,6.2,25.4
0500000US27035,27035,id27035,"Crow Wing County, Minnesota",28183,22715,2677,620,423,1747,98.7,84.6,14.1,1.3,26423,3.8,9.6,15.9,35.4,13.1,22.2,20.9,36.3,19.5,14.4,3.5,5.3,21.6
0500000US27169,27169,id27169,"Winona County, Minnesota",27495,20841,2171,2282,797,1375,91.2,80,11.2,8.8,26121,5.5,10,18.6,27.6,11.7,26.7,32.1,35.8,13.4,11,4.7,3.1,17.3
0500000US27025,27025,id27025,"Chisago County, Minnesota",26941,22657,2263,377,511,1105,96.4,36.2,60.1,3.6,25829,7.5,15.2,23.1,23.7,9.9,20.7,12.9,18.4,13.8,22.2,17.9,14.8,32.7
0500000US27111,27111,id27111,"Otter Tail County, Minnesota",26863,20711,3009,1289,403,1424,94.9,78.6,16.3,5.1,25427,4,10.2,18,32.9,13.8,21.1,29.6,32.1,15.4,11.9,4.4,6.7,20.7
0500000US55015,55015,id55015,"Calumet County, Wisconsin",26139,22532,1960,523,183,993,99.6,31.6,68,0.4,25146,7.8,11.2,19.1,31,9.3,21.7,19.5,36.3,21.6,15.1,4.3,3.1,20.1
0500000US55043,55043,id55043,"Grant County, Wisconsin",25378,19719,2081,1802,330,1421,86.2,67.4,18.8,13.8,23957,6.4,10.6,18.5,29,9.2,26.3,30.8,25.3,17.1,16.2,5.3,5.2,20.7
0500000US55135,55135,id55135,"Waupaca County, Wisconsin",24897,20515,2266,946,299,871,99.3,63.5,35.8,0.7,24020,10.4,13.1,18.1,24.2,7.9,26.3,25.8,28.2,16.5,16.6,7.9,5.1,22
0500000US27049,27049,id27049,"Goodhue County, Minnesota",23177,18403,2086,1020,441,1228,98.2,64.8,33.5,1.8,21942,6.2,12.9,20.9,27.5,10.2,22.3,24.9,26.2,17.9,15.6,8.1,7.3,23.1
0500000US55093,55093,id55093,"Pierce County, Wisconsin",22114,17404,1813,1614,155,1128,58.1,35.9,22.2,41.9,20994,6.6,14.2,19.7,22.6,8.9,27.8,17.6,23.2,16.3,22.4,11.7,8.9,26.8
0500000US55033,55033,id55033,"Dunn County, Wisconsin",21778,16834,2004,1655,196,1089,95.9,64.5,31.4,4.1,20689,7,11.5,19.5,24.8,9.9,27.3,21.5,30.4,19.8,17.5,4.9,5.8,22.3
0500000US55005,55005,id55005,"Barron County, Wisconsin",21601,17130,1663,1275,173,1318,97.6,83.5,14.1,2.4,20282,9.3,11.7,18.1,26.8,10.4,23.8,29.6,33.7,16.8,10.1,3.7,6.1,19.4
0500000US27067,27067,id27067,"Kandiyohi County, Minnesota",21430,17594,2186,536,278,814,99,86.5,12.5,1,20610,4.3,8.3,18.3,34.6,11.6,22.9,31.2,36.5,15.6,9.8,2.4,4.6,17.5
0500000US55031,55031,id55031,"Douglas County, Wisconsin",20960,16957,1950,797,524,734,61.5,58.8,2.7,38.5,20226,4.7,6.9,21.7,27.1,14.3,25.2,21,32.8,19.3,16.4,6.9,3.5,21.1
0500000US55081,55081,id55081,"Monroe County, Wisconsin",20914,16919,2008,628,523,837,99.3,79.3,20,0.7,20077,8.2,13.9,19.9,27.1,8,23,22.6,34,19.9,15.7,4.6,3.2,19.8
0500000US55095,55095,id55095,"Polk County, Wisconsin",20709,16691,2092,538,227,1160,77.9,61,16.9,22.1,19543,8.1,13.6,20.4,27.6,9,21.3,18.5,24.7,16.2,16.6,9.2,14.7,29.3
0500000US27007,27007,id27007,"Beltrami County, Minnesota",19957,14948,2155,859,659,1357,98.6,85,13.6,1.4,18601,4.1,6.6,17.1,37.4,12.2,22.7,22.5,42.2,14.6,11.3,3,6.4,20.1
0500000US55115,55115,id55115,"Shawano County, Wisconsin",19767,15655,1937,731,139,1324,99.6,59.1,40.5,0.4,18438,9.3,12.7,18.4,27.2,8.9,23.7,23.7,28.9,15.5,16.9,8.8,6,22.9
0500000US27009,27009,id27009,"Benton County, Minnesota",19393,15960,1784,484,291,873,99.3,36.8,62.5,0.7,18514,6.1,10.9,19.5,30.2,9.5,23.9,19.2,36.9,18.4,14.4,4.7,6.3,22.3
0500000US27061,27061,id27061,"Itasca County, Minnesota",19367,15784,1879,600,271,813,99.2,84.4,14.8,0.8,18556,3.8,10.2,20.3,30.1,12.5,23.1,20.7,34.7,19,13.7,5.3,6.5,22.8
0500000US55045,55045,id55045,"Green County, Wisconsin",19258,15464,1657,751,212,1175,96.4,60.4,36.1,3.6,18090,8,11.2,22.3,29.6,9,20,27.6,23.3,15.1,18.3,9.4,6.3,23.4
0500000US27059,27059,id27059,"Isanti County, Minnesota",18880,15180,1813,359,397,1133,98.6,41.1,57.5,1.4,17751,8.6,14.4,22.7,21.6,8.5,24.2,13.7,23.5,11.2,19.8,13.6,18.1,33.5
0500000US27099,27099,id27099,"Mower County, Minnesota",18594,14671,1710,818,707,707,97.9,77,21,2.1,17881,6.3,12.4,21.4,22.1,9,28.9,36.6,32.3,9.9,11.5,6,3.8,17.5
0500000US55083,55083,id55083,"Oconto County, Wisconsin",18517,15184,1870,389,185,907,98.8,43.7,55.1,1.2,17612,10.5,16.7,22.9,23.2,7.4,19.3,18.9,18.9,21.8,27.5,7.8,5.2,26
0500000US27085,27085,id27085,"McLeod County, Minnesota",18503,15191,1629,759,204,740,99.4,67.3,32.1,0.6,17771,5,13.1,19.8,27.4,12.5,22.2,28.2,28.2,16.2,11.1,6.8,9.4,22.2
0500000US27103,27103,id27103,"Nicollet County, Minnesota",18246,14104,1332,912,255,1642,99.7,50.3,49.4,0.3,16606,2.5,8.8,17.8,34,12.5,24.4,32.8,40.6,14.1,5.9,2,4.6,16.2
0500000US55075,55075,id55075,"Marinette County, Wisconsin",18219,15049,1694,729,237,492,85.9,74.3,11.6,14.1,17727,9.8,15.2,16.7,22.4,9.7,26.4,28.7,34.7,13.8,10.8,5.2,6.9,20.8
0500000US27041,27041,id27041,"Douglas County, Minnesota",18211,15152,1384,528,237,892,98.8,85.1,13.7,1.2,17311,3.7,8.5,16.8,35.8,13.2,21.9,27.2,41.2,16.5,9,2.1,4.1,18.3
0500000US27147,27147,id27147,"Steele County, Minnesota",18070,15540,1247,433,253,596,99.8,78.5,21.2,0.2,17476,4.3,11.3,22.5,29.6,9.8,22.6,33.4,36.1,13.4,8.1,4.1,4.8,17.7
0500000US55085,55085,id55085,"Oneida County, Wisconsin",16360,13415,1440,475,163,867,99,80.4,18.6,1,15492,3.2,9.2,22.4,30.4,11.4,23.5,24.8,37.9,16.5,11.8,3.8,5,20
0500000US27097,27097,id27097,"Morrison County, Minnesota",16011,12393,1777,528,208,1121,99,62.1,36.8,1,14883,9.1,13.1,20.9,27.7,9.4,19.6,22.6,25.3,15.5,20.2,8.4,8,25.6
0500000US27017,27017,id27017,"Carlton County, Minnesota",15920,13277,1306,478,175,669,96,64,32,4,15244,4.6,10.6,20.5,30.4,9.9,23.9,20.6,30.3,20.9,20.4,4.5,3.3,21.2
0500000US27119,27119,id27119,"Polk County, Minnesota",15459,12506,1314,695,232,727,70.6,62.4,8.2,29.4,14725,2.7,6.7,18.7,38.2,13.5,20.1,33.1,33.4,13.8,11.9,4.3,3.5,17.7
0500000US27005,27005,id27005,"Becker County, Minnesota",15403,11922,1786,539,123,1032,91.5,73.6,17.9,8.5,14365,4.2,8.8,20.3,35,13.6,18.1,22.5,34.4,16.5,11.2,7.4,8.1,23.2
0500000US55019,55019,id55019,"Clark County, Wisconsin",15322,11262,1318,874,291,1578,99.3,65,34.3,0.7,13745,10,14.4,21.7,25.3,8.2,20.4,29.7,26.9,17,15.2,5.7,5.4,21
0500000US27047,27047,id27047,"Freeborn County, Minnesota",14894,12019,1564,328,387,581,94.6,75.2,19.4,5.4,14311,5.8,10.7,19,28.1,11.1,25.2,26.6,40.9,14.8,10.6,2.7,4.6,18.5
0500000US55121,55121,id55121,"Trempealeau County, Wisconsin",14770,11890,1374,679,177,635,93.4,68.2,25.2,6.6,14141,10,16.4,18.4,26.5,8.5,20.2,27.8,23.5,19.1,19.9,5.4,4.2,21.1
0500000US27079,27079,id27079,"Le Sueur County, Minnesota",14238,11618,1395,456,199,570,99.3,40.4,58.9,0.7,13663,6.5,10.8,23.1,31.1,10,18.3,23.1,22.2,17.2,21,8.7,7.8,25
0500000US27083,27083,id27083,"Lyon County, Minnesota",13925,10346,1922,502,250,905,98.3,91.1,7.2,1.7,13025,3.7,7.7,18.1,37.7,11.2,21.6,44.1,29.6,14.7,7,1.5,3.2,15.3
0500000US55069,55069,id55069,"Lincoln County, Wisconsin",13588,11264,1413,272,217,421,99.3,63.2,36.1,0.7,13167,8,15.6,22.4,25.1,9,19.9,21.8,30.7,17.3,19.6,6,4.5,22.6
0500000US27015,27015,id27015,"Brown County, Minnesota",13339,10311,987,827,160,1040,99.6,85.9,13.6,0.4,12295,3.4,10.7,20.9,31.8,9.9,23.3,42.5,31.8,11.7,8.8,2.6,2.6,14.9
0500000US55123,55123,id55123,"Vernon County, Wisconsin",13166,10125,1092,684,303,961,98.2,60.6,37.6,1.8,12203,6.8,10.3,20.1,31.2,10.9,20.6,21.4,26.5,17.2,20.5,8.4,5.8,23.5
0500000US55029,55029,id55029,"Door County, Wisconsin",13065,10269,1345,601,209,640,98.6,84.6,14,1.4,12421,4,12.5,18.9,28.4,14.2,22,32.5,31.6,14.3,11.7,5.2,4.7,19.3
0500000US27115,27115,id27115,"Pine County, Minnesota",12656,9948,1607,316,253,532,98,61.5,36.5,2,12122,9.5,12.8,16.9,24.1,10.9,25.8,18.6,29.4,15.7,13.7,5.2,17.4,29.9
0500000US55049,55049,id55049,"Iowa County, Wisconsin",12259,9268,1484,515,221,772,98.7,59.4,39.2,1.3,11487,7.3,13.8,23.6,29.4,9,16.8,24.5,23.5,14.9,16.5,11.4,9.1,25.4
0500000US27021,27021,id27021,"Cass County, Minnesota",11813,8966,1182,460,307,921,97.9,55.4,42.5,2.1,10889,4.5,8.5,19.4,33.8,11.6,22.2,23.4,28.4,20.1,15.7,6.3,6,22.8
0500000US55057,55057,id55057,"Juneau County, Wisconsin",11670,9406,1295,385,164,432,98.4,62.6,35.8,1.6,11240,9.4,13.3,18.9,25.7,8.2,24.5,20.9,29.4,19.3,18.8,5.6,6.2,23.3
0500000US27095,27095,id27095,"Mille Lacs County, Minnesota",11479,9252,1217,378,230,413,98.7,53.8,44.9,1.3,11070,9.4,13.7,20.2,26.7,10.6,19.5,23.3,24.3,11.1,13.8,11.1,16.6,29.1
0500000US27093,27093,id27093,"Meeker County, Minnesota",11179,9245,917,392,100,525,99.4,54.7,44.7,0.6,10657,5.4,12.6,22.7,29.7,9.9,19.5,25.3,26.6,18.7,14.5,5.5,9.4,24.4
0500000US27153,27153,id27153,"Todd County, Minnesota",11161,8371,1227,413,245,904,99,53.9,45.1,1,10258,9,11.7,20.4,26.7,10.3,21.7,25.1,25.5,18.2,17.4,7.4,6.4,23.4
0500000US27157,27157,id27157,"Wabasha County, Minnesota",11140,8433,1170,535,346,657,97.8,51.4,46.4,2.2,10482,5.5,11.3,21.5,31,9.7,21.1,28.1,18,20.3,21.2,7,5.4,22.9
0500000US27039,27039,id27039,"Dodge County, Minnesota",10593,8644,985,191,159,625,99.3,37.2,62.2,0.7,9972,5.5,11.7,27.6,27.5,7.9,19.8,18.3,18,31.5,22.6,5.3,4.3,23.7
0500000US27091,27091,id27091,"Martin County, Minnesota",10239,8242,952,297,277,471,96.3,81.8,14.5,3.7,9769,3,11.4,18.1,31.8,12.9,22.7,35.4,31.6,16.1,9.7,2.7,4.5,16.9
0500000US27045,27045,id27045,"Fillmore County, Minnesota",10188,7203,1253,560,448,723,94.9,55.1,39.9,5.1,9464,5.9,13.2,25.5,28.3,9.5,17.7,26.4,19.9,13.3,20,12,8.4,25.5
0500000US27105,27105,id27105,"Nobles County, Minnesota",10162,7164,1759,467,325,447,92.8,82.2,10.6,7.2,9719,5.1,14.5,17.9,27.2,9.8,25.4,35.8,32.8,12.1,9.4,6.4,3.5,17.4
0500000US55137,55137,id55137,"Waushara County, Wisconsin",10134,7905,1247,253,203,517,99,50.4,48.6,1,9614,9.1,12,22.6,26.3,7.7,22.2,20.4,25,17.1,16.7,11.6,9.3,26.7
0500000US55061,55061,id55061,"Kewaunee County, Wisconsin",10118,8165,788,485,162,526,99.9,54.5,45.4,0.1,9590,9.3,17.6,25,24.6,6.4,17.1,26.8,20.1,18.8,23.6,7.3,3.4,22.4
0500000US55119,55119,id55119,"Taylor County, Wisconsin",9950,7612,965,468,209,697,99.5,75.4,24.1,0.5,9253,10.8,17.2,19.2,22.1,9.6,21.1,31.3,27.2,17.5,11.8,5.4,6.8,21.7
0500000US27055,27055,id27055,"Houston County, Minnesota",9609,7678,769,336,231,605,53.3,45.3,8,46.7,9003,6.5,12.5,21.2,33.3,10.5,16,21.8,33.8,16.9,17.4,5.6,4.6,21.3
0500000US27161,27161,id27161,"Waseca County, Minnesota",9330,7464,867,280,149,569,99.2,61.4,37.8,0.8,8763,7.6,10.6,21.5,29.2,9.4,21.8,31.6,26.2,20.6,12.7,3.5,5.4,20.1
0500000US27057,27057,id27057,"Hubbard County, Minnesota",9329,7435,886,336,121,560,98,58.5,39.4,2,8770,3.2,7.4,17.7,33.4,15.3,22.9,23.1,34.4,20.7,11.7,3.9,6.1,21.6
0500000US55053,55053,id55053,"Jackson County, Wisconsin",9035,7237,957,253,117,470,98.5,69.6,28.9,1.5,8567,9.2,13,17.2,26.7,8.6,25.2,25.8,31.1,15.2,15.4,6,6.7,21.7
0500000US55047,55047,id55047,"Green Lake County, Wisconsin",8903,7042,811,401,196,445,99.2,51.4,47.7,0.8,8457,10,14.2,20.9,24.7,7.7,22.5,23.3,26.3,20.1,16.3,7.4,6.7,23.1
0500000US55067,55067,id55067,"Langlade County, Wisconsin",8814,6998,785,503,149,388,99.2,80.2,19,0.8,8428,6.7,14.4,18.1,25.8,9.5,25.5,31.8,32.8,11,10.9,7.5,5.9,20.5
0500000US55125,55125,id55125,"Vilas County, Wisconsin",8809,7012,670,493,88,546,98,73.4,24.6,2,8261,3.4,7.7,15.8,33.2,16.2,23.8,25.8,38.2,16.2,12.6,3.6,3.6,19
0500000US55065,55065,id55065,"Lafayette County, Wisconsin",8514,6462,706,485,94,758,90.9,49.9,41,9.1,7753,8,12.8,23,29,8.9,18.4,25.8,21.6,17.6,20.3,6.7,8.1,24.9
0500000US55103,55103,id55103,"Richland County, Wisconsin",8239,6649,667,346,91,486,99.3,64.4,34.9,0.7,7753,7.6,14.7,16.6,23.1,11.7,26.3,23.4,28.3,17.8,16.1,5.3,9.2,23.6
0500000US27135,27135,id27135,"Roseau County, Minnesota",8180,6037,1349,295,147,352,99.1,94.7,4.4,0.9,7831,10.9,13.3,19,26.6,9.4,20.8,37.6,30,14.2,11.9,3.1,3.3,16.6
0500000US27143,27143,id27143,"Sibley County, Minnesota",7648,5942,788,291,54,574,99.4,47.6,51.9,0.6,7071,8.1,15.4,21.5,26.4,10.2,18.4,23,22.5,15,22.4,9.6,7.5,25
0500000US27127,27127,id27127,"Redwood County, Minnesota",7506,5810,654,383,61,593,99.3,77.5,21.8,0.7,6913,3.1,8,18.7,35.9,14.3,19.9,39.5,27.6,14.4,10.5,4.7,3.3,16.6
0500000US55023,55023,id55023,"Crawford County, Wisconsin",7476,6011,643,284,97,441,93,68.7,24.2,7,7035,5.9,16.7,16.3,25.3,10.2,25.6,28.8,27.2,15.5,14,7,7.4,23.4
0500000US55001,55001,id55001,"Adams County, Wisconsin",7456,5965,917,149,119,306,97.7,43.9,53.9,2.3,7148,8.2,12.7,19.4,23.7,10.5,25.5,15,22.2,22,19.5,11,10.4,28.5
0500000US27129,27129,id27129,"Renville County, Minnesota",7396,5865,562,318,96,555,99.6,67.3,32.3,0.4,6841,4.5,8.7,23.4,33.2,11.9,18.2,34.1,28.3,16.4,13,4.3,3.9,18.4
0500000US27113,27113,id27113,"Pennington County, Minnesota",7381,5506,989,325,207,362,98.3,92.1,6.2,1.7,7023,3.1,9.8,17.9,32,17.2,20,41.3,37.4,7.8,6.9,2.6,4.1,15
0500000US55003,55003,id55003,"Ashland County, Wisconsin",7175,5503,696,502,115,359,98.5,79,19.5,1.5,6816,6,10.5,18.6,28.4,13.4,23.1,35.8,33.5,13.8,7.7,3.6,5.5,18.1
0500000US27065,27065,id27065,"Kanabec County, Minnesota",7022,5653,765,133,133,337,97.8,47.4,50.5,2.2,6687,10.5,15.1,16.9,25.5,9.4,22.5,18.9,22,15.2,17.9,7.6,18.3,32.1
0500000US27043,27043,id27043,"Faribault County, Minnesota",6952,5450,570,341,63,535,96.5,71.7,24.7,3.5,6419,4.6,9.5,21.1,33.7,11.6,19.6,36.4,24.9,14,14.8,5.8,4.1,19.2
0500000US55113,55113,id55113,"Sawyer County, Wisconsin",6939,5405,700,298,104,423,97.6,84.7,12.9,2.4,6515,3.2,6.8,13.7,36.6,14.3,25.5,29.9,35.6,14.5,10.5,3.9,5.6,19.2
0500000US55007,55007,id55007,"Bayfield County, Wisconsin",6774,5114,691,386,122,467,94.7,57,37.7,5.3,6306,3.2,9.7,21.3,32.4,14.1,19.3,24.8,25.1,19,15.9,7.7,7.6,23.8
0500000US55011,55011,id55011,"Buffalo County, Wisconsin",6749,5001,823,344,74,513,75.7,46,29.7,24.3,6239,8.9,13.5,18.1,29.6,8.8,21,23.3,23.7,17.4,22.8,7.2,5.8,24.1
0500000US55077,55077,id55077,"Marquette County, Wisconsin",6718,5321,786,222,114,275,98.9,45.8,53.2,1.1,6445,10.2,15.4,18.6,22,10.5,23.3,18.7,21.1,20.2,18.2,9.2,12.7,28.9
